work	abi	이름	Lv	갈래	핸들러	호출VA	생성자	종류	Obs	모션	자리	x	y	z	붙일곳	단계	지연	수명	그림	영상	영상인자
763	31	블레이드 미사일	11	핸들러	0x10085460	0x10085f35	0x100c1fa0	obs	171	4	self	나.x-90	&0+0x0	나.z+50	맵	0	20	-	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x10085fc3	0x100c38a0	obs	171	4	self	나.x-90	&0+0x0	나.z+50	맵	0	-	&ds:0x0	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x100860b2	0x100c1fa0	obs	171	13	self	나.x-90	나.y-?	나.z+50	맵	0	0	-	171:13	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x10086131	0x100c1fa0	obs	171	4	self	나.x-90	나.y-?	나.z+50	맵	0	20	-	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x100861c0	0x100c38a0	obs	171	4	self	나.x-90	나.y-?	나.z+50	맵	0	-	&ds:0x0	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x100862c4	0x100c1fa0	obs	171	13	self	나.x+90	&0+0x0	나.z+50	맵	0	0	-	171:13	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x1008633d	0x100c1fa0	obs	171	4	self	나.x+90	&0+0x0	나.z+50	맵	0	20	-	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x100863c2	0x100c38a0	obs	171	4	self	나.x+90	&0+0x0	나.z+50	맵	0	-	&ds:0x0	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x100864a4	0x100c1fa0	obs	171	13	self	나.x+90	나.y-?	나.z+50	맵	0	0	-	171:13	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x10086518	0x100c1fa0	obs	171	4	self	나.x+90	나.y-?	나.z+50	맵	0	20	-	171:4	-	-
763	31	블레이드 미사일	11	핸들러	0x10085460	0x1008659e	0x100c38a0	obs	171	4	self	나.x+90	나.y-?	나.z+50	맵	0	-	&ds:0x0	171:4	-	-
764	94	크래쉬 봄	20	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
764	94	크래쉬 봄	20	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
764	94	크래쉬 봄	20	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
765	94	크래쉬 봄	19	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
765	94	크래쉬 봄	19	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
765	94	크래쉬 봄	19	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
766	94	크래쉬 봄	18	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
766	94	크래쉬 봄	18	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
766	94	크래쉬 봄	18	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
767	94	크래쉬 봄	17	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
767	94	크래쉬 봄	17	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
767	94	크래쉬 봄	17	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
768	94	크래쉬 봄	16	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
768	94	크래쉬 봄	16	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
768	94	크래쉬 봄	16	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
769	94	크래쉬 봄	15	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
769	94	크래쉬 봄	15	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
769	94	크래쉬 봄	15	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
770	94	크래쉬 봄	14	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
770	94	크래쉬 봄	14	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
770	94	크래쉬 봄	14	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
771	94	크래쉬 봄	13	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
771	94	크래쉬 봄	13	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
771	94	크래쉬 봄	13	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
772	94	크래쉬 봄	12	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
772	94	크래쉬 봄	12	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
772	94	크래쉬 봄	12	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
773	94	크래쉬 봄	11	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
773	94	크래쉬 봄	11	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b18f8	0x100c1fa0	sound	1380	0	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b1951	0x100cd490	emit	110	0	self	나.x	나.y	나.z	맵	0	-	-	110:0	-	-
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b19b0	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	2	109:6	-	-
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b1a3a	0x100cc810	emit	253	0	self	나.x	나.y	나.z	맵	0	-	4	253:0	-	-
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b1ad3	0x100cc810	emit	109	6	self	나.x	나.y	나.z	맵	0	-	5	109:6	-	-
773	94	크래쉬 봄	11	핸들러	0x100b1870	0x100b1ec0	0x100c5c50	obs	251	0	self	나.work+?-200+?-300	나.work+?-200	나.z+500	맵	0	-	나.work+?-200+?-300	251:0	-	-
774	95	메테오	20	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
774	95	메테오	20	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
774	95	메테오	20	핸들러	0x100866f0	0x1008680f	0x100c3340	obs	200	0	cell	&esp+0x20+0xc8	&esp+0x22+0x-1f4	esp+0x18	맵	0	-	edx+5	200:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100868ae	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	edx+5	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x1008691a	0x100c1fa0	obs	111	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	111:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x1008698c	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100869fb	0x100c1fa0	obs	199	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	199:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086a6a	0x100c1fa0	obs	170	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	50	-	170:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086ad9	0x100c1fa0	obs	170	1	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	170:1	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086b45	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086c64	0x100c1fa0	obs	109	7	cell	eax+0x0	esp+0x4a	esp+0x44	맵	0	0	-	109:7	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086d03	0x100c5c50	obs?	251	esp+0x4a	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	-	-	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10086ff0	0x100c3340	obs	200	0	cell	&0+0x20+0xc8	&0+0x22+0x-1f4	0+0x18	맵	0	-	ds:0x101634dc+?-3+5	200:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x1008708f	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	ds:0x101634dc+?-3+5	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100870fb	0x100c1fa0	obs	111	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	111:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x1008716d	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100871dc	0x100c1fa0	obs	199	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	199:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x1008724b	0x100c1fa0	obs	170	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	50	-	170:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100872ba	0x100c1fa0	obs	170	1	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	170:1	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087326	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087445	0x100c1fa0	obs	109	7	cell	eax+0x0	0+0x4a	0+0x44	맵	0	0	-	109:7	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100874e4	0x100c5c50	obs?	251	0+0x4a	cell	0+0x20	0+0x1e	0+0x18	맵	0	-	-	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100877c7	0x100c3340	obs	200	0	cell	&0+0x28+0xc8	&0+0x32+0x-1f4	0+0x2c	맵	0	-	ds:0x101634dc+?-3+30	200:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087869	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	ds:0x101634dc+?-3+30	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100878dd	0x100c1fa0	obs	111	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	111:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087954	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
774	95	메테오	20	핸들러	0x100866f0	0x100879c7	0x100c1fa0	obs	199	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	199:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087a3a	0x100c1fa0	obs	170	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	50	-	170:0	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087aad	0x100c1fa0	obs	170	1	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	170:1	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087b25	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087c46	0x100c1fa0	obs	109	7	cell	0+0x4c	0+0x4a	0+0x44	맵	0	0	-	109:7	-	-
774	95	메테오	20	핸들러	0x100866f0	0x10087cf3	0x100c5c50	obs?	251	0+0x2c	cell	0+0x24	0+0x32	0+0x2c	맵	0	-	-	-	-	-
775	95	메테오	19	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
775	95	메테오	19	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
775	95	메테오	19	핸들러	0x100866f0	0x1008680f	0x100c3340	obs	200	0	cell	&esp+0x20+0xc8	&esp+0x22+0x-1f4	esp+0x18	맵	0	-	edx+5	200:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100868ae	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	edx+5	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x1008691a	0x100c1fa0	obs	111	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	111:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x1008698c	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100869fb	0x100c1fa0	obs	199	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	199:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086a6a	0x100c1fa0	obs	170	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	50	-	170:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086ad9	0x100c1fa0	obs	170	1	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	170:1	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086b45	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086c64	0x100c1fa0	obs	109	7	cell	eax+0x0	esp+0x4a	esp+0x44	맵	0	0	-	109:7	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086d03	0x100c5c50	obs?	251	esp+0x4a	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	-	-	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10086ff0	0x100c3340	obs	200	0	cell	&0+0x20+0xc8	&0+0x22+0x-1f4	0+0x18	맵	0	-	ds:0x101634dc+?-3+5	200:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x1008708f	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	ds:0x101634dc+?-3+5	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100870fb	0x100c1fa0	obs	111	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	111:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x1008716d	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100871dc	0x100c1fa0	obs	199	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	199:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x1008724b	0x100c1fa0	obs	170	0	cell	0+0x20	0+0x1e	0+0x18	맵	0	50	-	170:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100872ba	0x100c1fa0	obs	170	1	cell	0+0x20	0+0x1e	0+0x18	맵	0	0	-	170:1	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087326	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087445	0x100c1fa0	obs	109	7	cell	eax+0x0	0+0x4a	0+0x44	맵	0	0	-	109:7	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100874e4	0x100c5c50	obs?	251	0+0x4a	cell	0+0x20	0+0x1e	0+0x18	맵	0	-	-	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100877c7	0x100c3340	obs	200	0	cell	&0+0x28+0xc8	&0+0x32+0x-1f4	0+0x2c	맵	0	-	ds:0x101634dc+?-3+30	200:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087869	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	ds:0x101634dc+?-3+30	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100878dd	0x100c1fa0	obs	111	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	111:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087954	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
775	95	메테오	19	핸들러	0x100866f0	0x100879c7	0x100c1fa0	obs	199	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	199:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087a3a	0x100c1fa0	obs	170	0	cell	0+0x28	0+0x32	0+0x2c	맵	0	50	-	170:0	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087aad	0x100c1fa0	obs	170	1	cell	0+0x28	0+0x32	0+0x2c	맵	0	0	-	170:1	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087b25	0x100cc600	emit	251	6	self	나.x	나.y	나.z	맵	0	-	-	251:6	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087c46	0x100c1fa0	obs	109	7	cell	0+0x4c	0+0x4a	0+0x44	맵	0	0	-	109:7	-	-
775	95	메테오	19	핸들러	0x100866f0	0x10087cf3	0x100c5c50	obs?	251	0+0x2c	cell	0+0x24	0+0x32	0+0x2c	맵	0	-	-	-	-	-
776	95	메테오	18	준비	0x1007def0	0x1007dffc	0x100c1fa0	sound	1338	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
776	95	메테오	18	준비	0x1007def0	0x1007e055	0x100d0770	mov	-	-	self	0	0	0	나	0	-	-	-	Mov\0041.mov	17,0,0,4294967168,4294967056,0
776	95	메테오	18	핸들러	0x100866f0	0x1008680f	0x100c3340	obs	200	0	cell	&esp+0x20+0xc8	&esp+0x22+0x-1f4	esp+0x18	맵	0	-	edx+5	200:0	-	-
776	95	메테오	18	핸들러	0x100866f0	0x100868ae	0x100c1fa0	sound	311	0	self	나.x	나.y	나.z	맵	0	0	edx+5	-	-	-
776	95	메테오	18	핸들러	0x100866f0	0x1008691a	0x100c1fa0	obs	111	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	111:0	-	-
776	95	메테오	18	핸들러	0x100866f0	0x1008698c	0x100c1fa0	sound	311	1	self	나.x	나.y	나.z	맵	0	0	-	-	-	-
776	95	메테오	18	핸들러	0x100866f0	0x100869fb	0x100c1fa0	obs	199	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	0	-	199:0	-	-
776	95	메테오	18	핸들러	0x100866f0	0x10086a6a	0x100c1fa0	obs	170	0	cell	esp+0x20	esp+0x1e	esp+0x18	맵	0	50	-	170:0	-	-
